iter	Passed	Remaining
0	152	152014
1	152	76205
2	153	50918
3	153	38264
4	154	30679
5	155	25737
6	156	22150
7	156	19449
8	157	17357
9	158	15670
10	158	14292
11	159	13142
12	160	12156
13	160	11309
14	161	10593
15	161	9958
16	162	9390
17	162	8885
18	163	8433
19	163	8026
20	164	7658
21	164	7323
22	165	7018
23	165	6737
24	166	6478
25	166	6240
26	167	6019
27	167	5826
28	168	5637
29	168	5459
30	169	5292
31	170	5145
32	170	5007
33	171	4877
34	172	4754
35	173	4638
36	173	4528
37	174	4422
38	175	4324
39	176	4225
40	176	4131
41	177	4041
42	177	3955
43	178	3875
44	179	3798
45	179	3723
46	180	3659
47	181	3589
48	181	3528
49	182	3467
50	183	3406
51	183	3347
52	184	3290
53	184	3235
54	186	3197
55	187	3160
56	188	3118
57	189	3073
58	189	3030
59	190	2986
60	191	2945
61	191	2904
62	192	2863
63	193	2829
64	194	2794
65	194	2757
66	195	2721
67	196	2686
68	196	2652
69	197	2618
70	197	2586
71	198	2554
72	198	2523
73	199	2492
74	200	2477
75	201	2453
76	202	2428
77	203	2404
78	204	2379
79	204	2355
80	205	2330
81	206	2310
82	206	2284
83	207	2260
84	207	2237
85	208	2215
86	208	2193
87	209	2171
88	210	2151
89	210	2130
90	211	2110
91	212	2094
92	212	2075
93	213	2056
94	213	2037
95	214	2019
96	214	2000
97	215	1987
98	216	1972
99	217	1958
100	218	1944
101	219	1930
102	219	1914
103	220	1902
104	221	1888
105	222	1873
106	222	1858
107	223	1843
108	223	1829
109	224	1814
110	225	1803
111	225	1789
112	226	1776
113	226	1763
114	227	1749
115	227	1737
116	228	1723
117	228	1711
118	229	1698
119	230	1686
120	230	1676
121	231	1668
122	232	1659
123	233	1650
124	234	1639
125	234	1629
126	235	1618
127	236	1608
128	236	1598
129	237	1590
130	238	1580
131	238	1571
132	239	1564
133	240	1556
134	241	1546
135	241	1537
136	242	1527
137	243	1518
138	244	1512
139	244	1504
140	245	1495
141	246	1488
142	247	1481
143	248	1475
144	249	1469
145	249	1461
146	250	1455
147	251	1450
148	252	1444
149	253	1437
150	254	1431
151	255	1423
152	255	1415
153	256	1410
154	257	1403
155	257	1395
156	258	1387
157	259	1380
158	259	1372
159	260	1365
160	260	1359
161	261	1354
162	262	1348
163	263	1341
164	264	1338
165	265	1332
166	265	1326
167	266	1319
168	267	1313
169	267	1308
170	268	1302
171	269	1298
172	270	1292
173	271	1286
174	271	1280
175	272	1274
176	272	1268
177	273	1262
178	273	1256
179	274	1251
180	275	1246
181	276	1241
182	277	1237
183	278	1233
184	279	1229
185	280	1225
186	280	1221
187	281	1216
188	282	1212
189	283	1209
190	284	1204
191	285	1199
192	286	1196
193	286	1191
194	287	1186
195	287	1181
196	288	1175
197	289	1170
198	289	1165
199	290	1163
200	291	1159
201	292	1157
202	293	1153
203	294	1149
204	295	1145
205	296	1142
206	297	1137
207	298	1136
208	299	1132
209	299	1127
210	300	1123
211	300	1118
212	301	1114
213	302	1109
214	302	1105
215	303	1100
216	304	1098
217	305	1097
218	306	1093
219	307	1090
220	308	1087
221	309	1083
222	309	1079
223	310	1076
224	311	1072
225	312	1069
226	313	1066
227	314	1063
228	314	1060
229	316	1057
230	316	1053
231	317	1050
232	317	1046
233	318	1042
234	318	1038
235	320	1036
236	321	1033
237	321	1030
238	322	1028
239	323	1025
240	324	1021
241	325	1019
242	326	1015
243	326	1012
244	327	1009
245	329	1008
246	329	1004
247	330	1001
248	330	997
249	331	994
250	331	990
251	332	987
252	333	983
